,time_period,spearman,NDCG
0,2002_1,0.06340023840711999,-0.007911026419271364
0,2002_2,-0.12030802950763848,-0.05390992175555816
0,2003_1,-0.008506251882092725,-0.041343357453224254
0,2003_2,-0.0667819868230265,-0.15943690949712666
0,2004_1,0.09711169846583485,-0.015832843750009817
0,2004_2,0.10318340529753346,0.10859439197166366
0,2005_1,0.0009647545891474934,-0.010308378772627603
0,2005_2,-0.025760241773331017,-0.005878387805704265
0,2006_1,0.034936335659921235,0.07852693391163927
0,2006_2,-0.09777998865767007,-0.0917510599207566
0,2007_1,0.06338081062128538,0.011875928893958986
0,2007_2,0.07929710105149847,0.175273480355893
0,2008_1,-0.09793531617348097,-0.251339788069746
0,2008_2,0.212372330906908,0.22929271855580372
0,2009_1,0.15003646778774812,0.26565427788239154
0,2009_2,-0.11447949722314728,-0.15927933472191433
0,2010_1,-0.10515829939571474,-0.14233876015323288
0,2010_2,0.025251695125200486,0.02967817194375821
0,2011_1,0.08160353301041928,-0.0475774966189238
0,2011_2,-0.08807161947135304,-0.08856434711893593
0,2012_1,-0.017590408869523535,-0.06695840272772509
0,2012_2,0.06401075526935004,0.17418386977869757
0,2013_1,0.1502786464328151,0.07981326844995648
0,2013_2,-0.07981429999511805,-0.006671609248724243
0,2014_1,-0.030949176699266924,-0.1114418929790112
0,2014_2,0.0023761083063321025,0.08538963554726021
0,2015_1,0.006182017876079383,-0.08093751546556445
0,2015_2,-0.11924392165830189,-0.14045456102162507
0,2016_1,-0.13983074647888188,-0.0024914372290995137
0,2016_2,0.01214633561493215,-0.026095910833836368
