,time_period,spearman,NDCG
0,2002_1,0.053133944103429386,0.014275746183925972
0,2002_2,-0.32106118192148814,-0.18888828033094038
0,2003_1,-0.004037102058035491,-0.016661563486783236
0,2003_2,0.03591955240382053,0.02154216554539581
0,2004_1,0.17025040976185235,0.1398836118959375
0,2004_2,0.12510270918095495,0.11443985348939188
0,2005_1,-0.09382350690820161,-0.008187970039840566
0,2005_2,0.09092535661419358,0.04234235769164186
0,2006_1,-0.01141603839228711,-0.04277152424438062
0,2006_2,-0.016488179482326035,0.01804606766694917
0,2007_1,0.038089555675198346,-0.01050350932671632
0,2007_2,0.15172914185088762,0.3315839579312719
0,2008_1,-0.07714830894802963,-0.2774738806389161
0,2008_2,-0.032526885182527256,0.09029594252669759
0,2009_1,-0.02681389166950098,-0.0008334808039236476
0,2009_2,-0.07704425069672939,-0.17737569106324574
0,2010_1,-0.05753033068763115,-0.0714198880551663
0,2010_2,0.03646942260260978,-0.010792076205542704
0,2011_1,0.24440725534882843,0.2000796513430079
0,2011_2,-0.013092047439353681,-0.07559729058423728
0,2012_1,0.02464642098341989,0.010378250501405794
0,2012_2,0.024162021479621085,0.007534215762996708
0,2013_1,0.14107185939197076,0.10092267053392322
0,2013_2,-0.1683476696584687,-0.12920023241154185
0,2014_1,0.11599069023334346,0.13247237147555563
0,2014_2,-0.10514417401351317,-0.020920486696170547
0,2015_1,0.043590933191940615,-0.0710207908341116
0,2015_2,-0.0019776063453936475,-0.06234865920492871
0,2016_1,0.15228564453334134,0.15625840829954327
0,2016_2,0.0007133987749133781,-0.07021008320175642
