,time_period,spearman,NDCG
0,2002_1,0.04974474898862613,-0.01423176502731349
0,2002_2,-0.16387855848323832,-0.05067945708418637
0,2003_1,0.026147137709873078,0.04604884624678903
0,2003_2,-0.006767240966967371,0.044867910117059866
0,2004_1,0.14627462531760937,0.10638429131253752
0,2004_2,0.15007573879383396,0.06840272308377322
0,2005_1,-0.015520377141549517,0.060400833648227764
0,2005_2,0.040858187097204755,0.009314597324246703
0,2006_1,0.05730995746146065,-0.0024721139412492207
0,2006_2,-0.09679017961392211,-0.03131738896027775
0,2007_1,0.09217302126685809,-0.002475606821089381
0,2007_2,0.10498630592228429,0.11552155879441114
0,2008_1,-0.1365860358214948,-0.14187653670387174
0,2008_2,0.18160226825666934,0.2601031477233428
0,2009_1,0.061926001139918835,0.07527626229102044
0,2009_2,-0.023288347140592167,-0.05223170035359542
0,2010_1,-0.0018373539217544678,0.010083219313469113
0,2010_2,0.12137467327065055,0.10939769730903838
0,2011_1,0.015199784816645847,-0.044822099460611345
0,2011_2,-0.09246064165261807,-0.09534621452172337
0,2012_1,-0.07327015772463973,-0.08336321777369761
0,2012_2,0.01931027904956722,0.015786577214504403
0,2013_1,0.1139607788350723,0.03682682950136756
0,2013_2,-0.1813744285721779,-0.15330938914511275
0,2014_1,-0.052063821277493844,-0.15492107773902672
0,2014_2,0.048003918318137294,0.09117549173890588
0,2015_1,-0.019667979599050648,-0.15863140287551472
0,2015_2,-0.05697518036210738,-0.052374364268813416
0,2016_1,-0.1639439582513692,-0.09841123771577186
0,2016_2,0.0016892988978799263,-0.09225376316140119
