,time_period,spearman,NDCG
0,2002_1,0.015804055535189272,-0.01272118957006317
0,2002_2,-0.04313377142498551,0.048659539599288225
0,2003_1,0.04291480270754612,-0.04603692086711821
0,2003_2,-0.04745247912142578,-0.07475192041931845
0,2004_1,-0.1002788001978882,-0.07873339173532423
0,2004_2,0.0880500127793998,0.045593778621566446
0,2005_1,-0.06408879336183702,0.0022789180047233866
0,2005_2,-0.036895130953331565,0.04001000942073691
0,2006_1,0.04736662769093922,-0.01201898413958031
0,2006_2,-0.021605313828113752,-0.00583894651073803
0,2007_1,0.09277753716628609,-0.028069799914649914
0,2007_2,0.08347199043373818,0.15387635886570034
0,2008_1,-0.017171417411184747,-0.037454138029634376
0,2008_2,0.07841041983901419,0.21191506140965302
0,2009_1,-0.02141114149827375,0.032352222421589534
0,2009_2,-0.02837495112235128,-0.04785493558598986
0,2010_1,-0.04101062500532923,-0.05905732768570681
0,2010_2,-0.05202364957020163,-0.07080829575858165
0,2011_1,0.02809076900942678,0.0006678403617916965
0,2011_2,-0.008573254151895152,-0.052846064612489196
0,2012_1,0.015193851290488579,0.0803909968903112
0,2012_2,-0.04724374711787437,-0.07482818250903618
0,2013_1,0.011970268129803877,0.03809827300625202
0,2013_2,0.0023349343376628546,0.0689556118646716
0,2014_1,-0.01287544897541758,-0.024569621020896843
0,2014_2,0.01060614623364228,0.06537615094537559
0,2015_1,-0.06828201535120942,-0.1608625586170106
0,2015_2,0.058711217877522606,-0.049420181040837764
0,2016_1,-0.028633593844169532,-0.03856102525582984
0,2016_2,-0.01451258313496618,-0.07363185907085242
